30 Minutes,Lane 1 Flow (Veh/30 Minutes),# Lane Points,% Observed 
 3:41 pm,25,1,100
4:32 pm,25,1,100
7:08 pm,50,1,100
4:02 pm,25,1,100
2:18 pm,25,1,100
3:36 pm,25,1,100
7:08 pm,50,1,100
11:09 am,50,1,100
12:14 pm,50,1,100
1:34 pm,25,1,100
12:12 am,25,1,100
12:24 am,25,1,100
7:28 pm,25,1,100
9:37 pm,25,1,100
12:14 pm,50,1,100
12:59 am,25,1,100
2:02 am,25,1,100
12:31 am,25,1,100
1:21 am,25,1,100
12:34 pm,50,1,100
4:14 pm,25,1,100
3:36 pm,25,1,100
2:13 pm,25,1,100
12:08 am,25,1,100
12:31 am,25,1,100
1:50 pm,25,1,100
4:05 pm,25,1,100
4:09 pm,25,1,100
7:28 pm,25,1,100
1:06 am,25,1,100
8:32 pm,50,1,100
9:37 pm,25,1,100
9:07 pm,50,1,100
2:10 pm,50,1,100
12:36 am,25,1,100
10:56 pm,50,1,100
9:59 pm,50,1,100
12:16 am,25,1,100
6:44 pm,50,1,100
1:11 pm,25,1,100
10:09 am,25,1,100
11:28 pm,25,1,100
7:42 pm,50,1,100
4:40 pm,75,1,100
9:59 pm,50,1,100
7:11 pm,50,1,100
6:41 pm,50,1,100
8:10 pm,50,1,100
7:08 pm,50,1,100
2:04 pm,25,1,100
10:50 am,25,1,100
3:02 pm,50,1,100
12:31 am,25,1,100
1:21 pm,25,1,100
7:41 pm,50,1,100
9:37 pm,25,1,100
6:15 pm,25,1,100
4:04 pm,25,1,100
12:13 pm,25,1,100
1:26 am,25,1,100
11:16 am,25,1,100
9:37 pm,25,1,100
12:33 pm,25,1,100
1:06 am,25,1,100
12:46 am,50,1,100
11:40 am,25,1,100
1:13 am,25,1,100
4:59 pm,25,1,100
5:12 pm,50,1,100
12:11 pm,25,1,100
10:42 pm,25,1,100
12:12 am,25,1,100
2:32 pm,25,1,100
11:38 pm,25,1,100
9:37 pm,25,1,100
11:13 pm,25,1,100
1:30 am,25,1,100
10:06 pm,50,1,100
5:46 pm,25,1,100
9:44 pm,50,1,100
4:14 pm,25,1,100
9:37 pm,25,1,100
1:38 pm,25,1,100
8:13 pm,50,1,100
11:28 pm,25,1,100
11:10 pm,25,1,100
1:51 pm,25,1,100
3:40 pm,25,1,100
9:37 pm,25,1,100
6:31 pm,75,1,100
11:06 pm,25,1,100
9:59 pm,50,1,100
4:14 pm,25,1,100
10:08 pm,50,1,100
3:31 pm,25,1,100
6:45 pm,50,1,100
4:32 pm,25,1,100
5:37 pm,50,1,100
1:21 am,25,1,100
11:13 pm,25,1,100
2:37 pm,50,1,100
3:13 pm,75,1,100
3:52 pm,25,1,100
12:52 am,25,1,100
12:07 pm,25,1,100
12:33 pm,25,1,100
12:31 am,25,1,100
1:42 pm,25,1,100
1:28 pm,50,1,100
2:13 pm,25,1,100
12:52 am,25,1,100
12:04 am,25,1,100
7:18 pm,75,1,100
1:50 am,25,1,100
10:12 pm,75,1,100
1:10 pm,50,1,100
6:42 pm,50,1,100
1:21 am,25,1,100
11:17 am,25,1,100
4:24 pm,25,1,100
2:02 am,25,1,100
2:13 pm,25,1,100
11:43 am,25,1,100
9:27 pm,50,1,100
2:42 pm,75,1,100
11:51 pm,25,1,100
1:21 am,25,1,100
10:34 pm,25,1,100
12:07 pm,25,1,100
8:34 pm,50,1,100
1:51 pm,50,1,100
9:37 pm,25,1,100
2:32 pm,25,1,100
1:42 pm,25,1,100
6:30 pm,50,1,100
5:46 pm,50,1,100
12:36 pm,25,1,100
7:53 pm,50,1,100
6:01 pm,50,1,100
12:00 am,25,1,100
5:23 pm,50,1,100
9:37 pm,25,1,100
5:43 pm,50,1,100
6:30 pm,50,1,100
3:36 pm,25,1,100
12:16 am,25,1,100
10:17 am,25,1,100
3:37 pm,50,1,100
10:52 pm,25,1,100
6:05 pm,50,1,100
6:41 pm,50,1,100
4:32 pm,25,1,100
11:39 am,25,1,100
2:43 pm,25,1,100
10:41 pm,25,1,100
1:38 pm,25,1,100
6:00 pm,50,1,100
10:13 pm,50,1,100
7:28 pm,25,1,100
2:30 pm,25,1,100
12:11 pm,25,1,100
6:15 pm,25,1,100
9:44 pm,50,1,100
7:18 pm,75,1,100
4:07 pm,25,1,100
5:37 pm,50,1,100
4:46 pm,25,1,100
6:05 pm,50,1,100
5:12 pm,50,1,100
3:53 pm,50,1,100
6:01 pm,50,1,100
12:54 pm,50,1,100
12:41 am,25,1,100
10:36 pm,75,1,100
9:37 pm,25,1,100
11:36 am,50,1,100
10:54 pm,25,1,100
1:13 am,25,1,100
10:59 am,25,1,100
3:36 pm,25,1,100
11:45 pm,25,1,100
2:38 pm,25,1,100
3:42 pm,25,1,100
12:36 pm,25,1,100
6:45 pm,50,1,100
12:52 am,25,1,100
12:12 pm,50,1,100
3:33 pm,25,1,100
11:12 am,25,1,100
6:04 pm,25,1,100
2:38 pm,25,1,100
7:39 pm,50,1,100
1:06 am,25,1,100
1:10 pm,25,1,100
2:43 pm,25,1,100
2:00 pm,25,1,100
10:27 pm,50,1,100
