5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed 
11/06/2018 15:41,25,1,100
06/06/2018 16:32,25,1,100
11/06/2018 19:08,50,1,100
11/06/2018 16:02,25,1,100
04/06/2018 14:18,25,1,100
10/06/2018 15:36,25,1,100
11/06/2018 19:08,50,1,100
13/06/2018 11:09,25,1,100
11/06/2018 00:14,50,1,100
08/06/2018 13:34,25,1,100
02/06/2018 12:12,25,1,100
12/06/2018 12:24,25,1,100
10/06/2018 19:28,25,1,100
10/06/2018 21:37,25,1,100
13/06/2018 00:14,25,1,100
09/06/2018 12:59,25,1,100
08/06/2018 02:02,25,1,100
13/06/2018 12:31,25,1,100
10/06/2018 01:21,25,1,100
13/06/2018 00:34,25,1,100
11/06/2018 16:14,25,1,100
10/06/2018 15:36,25,1,100
31/05/2018 14:13,25,1,100
08/06/2018 12:08,25,1,100
13/06/2018 12:31,25,1,100
31/05/2018 13:50,25,1,100
31/05/2018 16:05,50,1,100
08/06/2018 16:09,50,1,100
10/06/2018 19:28,25,1,100
06/06/2018 01:06,25,1,100
04/06/2018 20:32,25,1,100
10/06/2018 21:37,25,1,100
04/06/2018 21:07,25,1,100
09/06/2018 14:10,50,1,100
02/06/2018 12:36,25,1,100
04/06/2018 22:56,25,1,100
04/06/2018 21:59,50,1,100
05/06/2018 12:16,25,1,100
08/06/2018 18:44,75,1,100
05/06/2018 13:11,25,1,100
04/06/2018 10:09,25,1,100
06/06/2018 23:28,25,1,100
04/06/2018 19:42,25,1,100
09/06/2018 16:40,75,1,100
04/06/2018 21:59,50,1,100
07/06/2018 19:11,50,1,100
06/06/2018 18:41,50,1,100
07/06/2018 20:10,50,1,100
11/06/2018 19:08,50,1,100
10/06/2018 14:04,25,1,100
08/06/2018 10:50,25,1,100
07/06/2018 15:02,25,1,100
13/06/2018 12:31,25,1,100
10/06/2018 13:21,25,1,100
08/06/2018 19:41,75,1,100
11/06/2018 21:37,25,1,100
10/06/2018 18:15,25,1,100
06/06/2018 16:04,25,1,100
10/06/2018 00:13,25,1,100
07/06/2018 01:26,25,1,100
06/06/2018 11:16,25,1,100
11/06/2018 21:37,25,1,100
06/06/2018 00:33,25,1,100
06/06/2018 01:06,25,1,100
07/06/2018 12:46,50,1,100
04/06/2018 11:40,25,1,100
01/06/2018 01:13,25,1,100
31/05/2018 16:59,50,1,100
07/06/2018 17:12,25,1,100
06/06/2018 00:11,25,1,100
07/06/2018 22:42,25,1,100
07/06/2018 12:12,25,1,100
06/06/2018 14:32,25,1,100
05/06/2018 23:38,25,1,100
10/06/2018 21:37,25,1,100
01/06/2018 23:13,25,1,100
09/06/2018 01:30,25,1,100
01/06/2018 22:06,50,1,100
31/05/2018 17:46,50,1,100
07/06/2018 21:44,50,1,100
11/06/2018 16:14,25,1,100
10/06/2018 21:37,25,1,100
06/06/2018 13:38,25,1,100
06/06/2018 20:13,50,1,100
07/06/2018 23:28,25,1,100
07/06/2018 23:10,25,1,100
08/06/2018 13:51,25,1,100
01/06/2018 15:40,25,1,100
11/06/2018 21:37,25,1,100
31/05/2018 18:31,50,1,100
05/06/2018 23:06,25,1,100
04/06/2018 21:59,50,1,100
11/06/2018 16:14,25,1,100
30/05/2018 22:08,50,1,100
08/06/2018 15:31,50,1,100
01/06/2018 18:45,25,1,100
06/06/2018 16:32,25,1,100
05/06/2018 17:37,25,1,100
10/06/2018 01:21,25,1,100
06/06/2018 23:13,25,1,100
07/06/2018 14:37,25,1,100
09/06/2018 15:13,50,1,100
01/06/2018 15:52,25,1,100
08/06/2018 12:52,25,1,100
05/06/2018 00:07,25,1,100
06/06/2018 00:33,25,1,100
13/06/2018 12:31,25,1,100
05/06/2018 13:42,25,1,100
09/06/2018 13:28,50,1,100
31/05/2018 14:13,25,1,100
02/06/2018 12:52,25,1,100
01/06/2018 12:04,25,1,100
31/05/2018 19:18,50,1,100
05/06/2018 01:50,25,1,100
06/06/2018 22:12,25,1,100
13/06/2018 13:10,25,1,100
05/06/2018 18:42,50,1,100
10/06/2018 01:21,25,1,100
31/05/2018 11:17,25,1,100
01/06/2018 16:24,25,1,100
08/06/2018 02:02,25,1,100
31/05/2018 14:13,25,1,100
11/06/2018 11:43,25,1,100
01/06/2018 21:27,50,1,100
09/06/2018 14:42,50,1,100
13/06/2018 23:51,25,1,100
10/06/2018 01:21,25,1,100
05/06/2018 22:34,25,1,100
05/06/2018 00:07,25,1,100
07/06/2018 20:34,50,1,100
07/06/2018 13:51,25,1,100
11/06/2018 21:37,25,1,100
05/06/2018 14:32,25,1,100
11/06/2018 13:42,25,1,100
04/06/2018 18:30,25,1,100
04/06/2018 17:46,25,1,100
10/06/2018 00:36,25,1,100
04/06/2018 19:53,25,1,100
08/06/2018 18:01,75,1,100
09/06/2018 12:00,25,1,100
04/06/2018 17:23,25,1,100
11/06/2018 21:37,25,1,100
08/06/2018 17:43,75,1,100
04/06/2018 18:30,25,1,100
06/06/2018 15:36,25,1,100
05/06/2018 12:16,25,1,100
04/06/2018 10:17,25,1,100
07/06/2018 15:37,25,1,100
08/06/2018 22:52,25,1,100
07/06/2018 18:05,25,1,100
06/06/2018 18:41,50,1,100
06/06/2018 16:32,25,1,100
08/06/2018 11:39,25,1,100
11/06/2018 14:43,25,1,100
01/06/2018 22:41,25,1,100
06/06/2018 13:38,25,1,100
06/06/2018 18:00,50,1,100
04/06/2018 22:13,25,1,100
10/06/2018 19:28,25,1,100
10/06/2018 14:30,25,1,100
08/06/2018 00:11,25,1,100
10/06/2018 18:15,25,1,100
11/06/2018 21:44,50,1,100
31/05/2018 19:18,50,1,100
05/06/2018 16:07,25,1,100
07/06/2018 17:37,25,1,100
08/06/2018 16:46,50,1,100
07/06/2018 18:05,25,1,100
05/06/2018 17:12,25,1,100
07/06/2018 15:53,25,1,100
05/06/2018 18:01,25,1,100
09/06/2018 00:54,50,1,100
01/06/2018 12:41,25,1,100
06/06/2018 22:36,25,1,100
10/06/2018 21:37,25,1,100
07/06/2018 11:36,25,1,100
12/06/2018 22:54,25,1,100
01/06/2018 01:13,25,1,100
04/06/2018 10:59,25,1,100
10/06/2018 15:36,25,1,100
06/06/2018 23:45,25,1,100
08/06/2018 14:38,25,1,100
05/06/2018 15:42,25,1,100
10/06/2018 00:36,25,1,100
01/06/2018 18:45,25,1,100
