5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed 
11/06/2018 14:43,25,1,100
06/06/2018 16:32,25,1,100
11/06/2018 19:08,50,1,100
11/06/2018 16:02,50,1,100
04/06/2018 13:56,25,1,100
10/06/2018 15:37,25,1,100
11/06/2018 19:08,50,1,100
13/06/2018 11:09,50,1,100
11/06/2018 00:12,50,1,100
08/06/2018 13:34,25,1,100
02/06/2018 12:12,50,1,100
12/06/2018 12:23,25,1,100
10/06/2018 19:28,25,1,100
10/06/2018 21:37,25,1,100
13/06/2018 11:09,50,1,100
09/06/2018 12:35,25,1,100
08/06/2018 02:02,25,1,100
13/06/2018 12:31,25,1,100
10/06/2018 01:20,25,1,100
13/06/2018 00:34,50,1,100
11/06/2018 16:15,50,1,100
10/06/2018 15:37,25,1,100
31/05/2018 14:13,25,1,100
08/06/2018 12:08,25,1,100
13/06/2018 12:31,25,1,100
31/05/2018 13:50,25,1,100
31/05/2018 16:09,50,1,100
08/06/2018 16:10,50,1,100
10/06/2018 19:28,25,1,100
06/06/2018 01:06,25,1,100
04/06/2018 20:32,50,1,100
10/06/2018 21:37,25,1,100
04/06/2018 21:07,50,1,100
09/06/2018 14:10,25,1,100
02/06/2018 12:36,25,1,100
04/06/2018 22:56,25,1,100
04/06/2018 21:59,25,1,100
05/06/2018 23:49,25,1,100
08/06/2018 18:45,75,1,100
05/06/2018 13:11,50,1,100
04/06/2018 10:09,25,1,100
06/06/2018 23:28,25,1,100
04/06/2018 18:30,50,1,100
09/06/2018 16:40,75,1,100
04/06/2018 21:59,25,1,100
07/06/2018 19:11,50,1,100
06/06/2018 18:41,75,1,100
07/06/2018 20:10,50,1,100
11/06/2018 19:08,50,1,100
10/06/2018 14:04,25,1,100
08/06/2018 10:50,25,1,100
07/06/2018 15:02,25,1,100
13/06/2018 12:31,25,1,100
10/06/2018 13:21,25,1,100
08/06/2018 19:41,75,1,100
11/06/2018 21:37,25,1,100
10/06/2018 18:15,25,1,100
06/06/2018 16:04,25,1,100
10/06/2018 00:14,25,1,100
07/06/2018 12:50,25,1,100
06/06/2018 11:16,25,1,100
11/06/2018 21:37,25,1,100
06/06/2018 00:33,25,1,100
06/06/2018 01:06,25,1,100
07/06/2018 12:50,25,1,100
04/06/2018 11:40,25,1,100
01/06/2018 01:14,25,1,100
31/05/2018 16:59,50,1,100
07/06/2018 17:12,75,1,100
06/06/2018 00:11,25,1,100
07/06/2018 22:42,50,1,100
07/06/2018 12:12,25,1,100
06/06/2018 14:32,25,1,100
05/06/2018 23:39,25,1,100
10/06/2018 21:37,25,1,100
01/06/2018 23:01,50,1,100
09/06/2018 01:30,25,1,100
01/06/2018 22:06,75,1,100
31/05/2018 17:46,50,1,100
07/06/2018 21:44,50,1,100
11/06/2018 16:15,50,1,100
10/06/2018 21:37,25,1,100
06/06/2018 13:38,25,1,100
06/06/2018 20:13,75,1,100
07/06/2018 23:29,25,1,100
07/06/2018 23:10,50,1,100
08/06/2018 13:51,25,1,100
01/06/2018 15:40,25,1,100
11/06/2018 21:37,25,1,100
31/05/2018 18:31,75,1,100
05/06/2018 23:06,50,1,100
04/06/2018 21:59,25,1,100
11/06/2018 16:15,50,1,100
30/05/2018 22:08,50,1,100
08/06/2018 15:31,50,1,100
01/06/2018 18:45,75,1,100
06/06/2018 16:32,25,1,100
05/06/2018 17:37,75,1,100
10/06/2018 01:20,25,1,100
06/06/2018 23:04,25,1,100
07/06/2018 14:37,25,1,100
09/06/2018 15:13,50,1,100
01/06/2018 15:52,25,1,100
08/06/2018 12:52,25,1,100
05/06/2018 00:07,50,1,100
06/06/2018 00:33,25,1,100
13/06/2018 12:31,25,1,100
05/06/2018 13:37,50,1,100
09/06/2018 13:29,25,1,100
31/05/2018 14:13,25,1,100
02/06/2018 12:52,25,1,100
01/06/2018 23:57,25,1,100
31/05/2018 19:18,75,1,100
05/06/2018 23:49,25,1,100
06/06/2018 22:12,50,1,100
13/06/2018 13:10,50,1,100
05/06/2018 18:42,75,1,100
10/06/2018 01:20,25,1,100
31/05/2018 11:15,25,1,100
01/06/2018 16:25,25,1,100
08/06/2018 02:02,25,1,100
31/05/2018 14:13,25,1,100
11/06/2018 11:38,50,1,100
01/06/2018 21:43,75,1,100
09/06/2018 14:10,25,1,100
13/06/2018 23:51,25,1,100
10/06/2018 01:20,25,1,100
05/06/2018 22:13,50,1,100
05/06/2018 00:07,50,1,100
07/06/2018 20:34,50,1,100
07/06/2018 13:23,25,1,100
11/06/2018 21:37,25,1,100
05/06/2018 14:32,50,1,100
11/06/2018 13:42,25,1,100
04/06/2018 18:30,50,1,100
04/06/2018 17:47,50,1,100
10/06/2018 00:36,25,1,100
04/06/2018 19:53,50,1,100
08/06/2018 18:01,75,1,100
09/06/2018 12:00,50,1,100
04/06/2018 17:24,50,1,100
11/06/2018 21:37,25,1,100
08/06/2018 16:47,50,1,100
04/06/2018 18:30,50,1,100
06/06/2018 15:36,25,1,100
05/06/2018 23:49,25,1,100
04/06/2018 10:18,25,1,100
07/06/2018 15:37,25,1,100
08/06/2018 22:52,50,1,100
07/06/2018 18:05,75,1,100
06/06/2018 18:41,75,1,100
06/06/2018 16:32,25,1,100
08/06/2018 11:39,25,1,100
11/06/2018 14:43,25,1,100
01/06/2018 22:39,75,1,100
06/06/2018 13:38,25,1,100
06/06/2018 18:00,75,1,100
04/06/2018 22:13,25,1,100
10/06/2018 19:28,25,1,100
10/06/2018 14:30,25,1,100
08/06/2018 00:11,25,1,100
10/06/2018 18:15,25,1,100
11/06/2018 21:44,50,1,100
31/05/2018 19:18,75,1,100
05/06/2018 16:07,75,1,100
07/06/2018 17:37,75,1,100
08/06/2018 16:47,50,1,100
07/06/2018 18:05,75,1,100
05/06/2018 17:13,75,1,100
07/06/2018 15:53,25,1,100
05/06/2018 18:02,75,1,100
09/06/2018 00:54,25,1,100
01/06/2018 12:41,25,1,100
06/06/2018 22:37,25,1,100
10/06/2018 21:37,25,1,100
07/06/2018 11:36,25,1,100
12/06/2018 22:55,25,1,100
01/06/2018 01:14,25,1,100
04/06/2018 10:59,25,1,100
10/06/2018 15:37,25,1,100
06/06/2018 23:45,25,1,100
08/06/2018 14:38,25,1,100
05/06/2018 15:42,75,1,100
10/06/2018 00:36,25,1,100
01/06/2018 18:45,75,1,100
02/06/2018 12:52,25,1,100
11/06/2018 00:12,50,1,100
31/05/2018 15:33,25,1,100
11/06/2018 11:12,50,1,100
10/06/2018 18:07,25,1,100
08/06/2018 14:38,25,1,100
05/06/2018 19:39,75,1,100
06/06/2018 01:06,25,1,100
11/06/2018 00:12,50,1,100
11/06/2018 14:43,25,1,100
11/06/2018 14:00,25,1,100
04/06/2018 22:28,25,1,100
08/06/2018 16:10,50,1,100
06/06/2018 15:07,25,1,100
05/06/2018 16:36,75,1,100
08/06/2018 18:01,75,1,100
05/06/2018 11:05,50,1,100
06/06/2018 19:26,75,1,100
07/06/2018 12:12,25,1,100
05/06/2018 14:32,50,1,100
08/06/2018 00:41,25,1,100
07/06/2018 16:15,25,1,100
08/06/2018 12:52,25,1,100
09/06/2018 12:35,25,1,100
07/06/2018 19:24,50,1,100
13/06/2018 11:09,50,1,100
08/06/2018 02:02,25,1,100
